Movie Id ,Title,Genre,Tags,Languages,Series or Movie,Runtime,Director,Director_id,Writer,Actors,View Rating,Awards Received,Awards Nominated For,Boxoffice,Netflix Release Date
60,Penalty,Sport,"Social Issue Dramas,Sports Movies,Bollywood Movies,Dramas,Independent Movies,Sports Dramas,Indian Movies,Hindi-Language Movies,Soccer Movies,International Dramas,The Beautiful Game",Hindi,Movie,170,Shubham Singh,53,"Akhilesh Choudhary, Shubham Singh, Sparsh Khetarpal, Tasha Bhambra","Kay Kay Menon, Lukram Smil, Shashank Arora, Manjot Singh",Not Rated,0,0,,7/5/2020
61,Lady Driver,Sport,"Sports Films,Dramas,Sports Dramas",English,Movie,120,Shaun Paul Piccinino,54,"Nick Gramenos, John Ducey, T.K. McKamy","Sean Patrick Flanery, Christina Moore, Grace Van Dien, Casper Van Dien",PG,0,0,,5/2/2020
62,Bennetts War,Sport,"Sports Movies,Dramas,Sports Dramas",English,Movie,120,Alex Ranarivelo,55,Alex Ranarivelo,"Brando Eaton, Ali Afshar, Allison Paige, Michael Roark",PG-13,0,0,"1,056,416",5/2/2020
63,Waiting for Spring,Sport,"Dramas,Teen Movies,Japanese Youth Dramas,Youth Drama,Romantic Dramas,Japanese Movies,Romantic Youth Drama,Teen Romance,Sports Dramas,Romantic Movies",Japanese,Movie,120,Yûichirô Hirakawa,56,,,Not Rated,0,0,,3/13/2020
64,No Mercy,Sport,"Action & Adventure,Korean Movies",English,Movie,120,Kevin Dunn,57,,"John Cena, Joe Anoa'i, Adam Scherr, Brock Lesnar",Not Rated,0,0,,3/3/2019
65,Cricket Fever: Mumbai Indians,Sport,"Social & Cultural Docs,Documentaries,Docuseries,Indian TV Shows,Sports Documentaries",English,Series,30,Rohit Sharma,58,,"Rohit Sharma, Jasprit Bumrah",Not Rated,0,0,,3/1/2019
66,For the Win,Sport,"US TV Shows,Reality TV,TV Shows,Competition Reality TV",English,Series,30,Jerry Ciccoritti,59,,Brodie Smith,Not Rated,0,0,,12/31/2018
67,Selection Day,Sport,"TV Dramas,Indian TV Shows,Teen TV Shows,TV Shows based on Books,TV Shows",English,Series,30,Udayan Prasad Karan Boolani,60,,"Mahesh Manjrekar, Yash Dholye, Prashannt Jha, Shiv Panditt",Not Rated,0,0,,12/28/2018
68,A Guest Is Coming,Thriller,"Crime Movies,Thriller Movies,Mysteries,Crime Thrillers,Classic Movies,Swedish Movies",Swedish,Movie,120,Arne Mattsson,61,Stieg Trenter,"Karl-Arne Holmsten, Sture Lagerwall, Naima Wifstrand, Erik 'Bullen' Berglund",Not Rated,0,0,,3/3/2021
69,Blood Orange,Thriller,"Independent Movies,Thriller Movies,British",English,Movie,120,Toby Tobias,62,Toby Tobias,"Ben Lamb, Iggy Pop, Kacey Clarke, Antonio Magro",Not Rated,0,0,,2/28/2021
70,Vaterland: A Hunting Logbook,Thriller,"Dark Comedies,Czech Movies,Comedies,Thriller Movies",Czech,Movie,120,David Jarab,63,David Jarab,"Vasil Fridrich, Karel Roden, Frantisek Rehák, Petr Forman",Not Rated,2,1,,2/25/2021
71,The Dig,Thriller,"Movies Based on Real Life,Dramas,Movies Based on Books,Period Pieces,British",English,Movie,120,"Andy Tohill, Ryan Tohill",64,Stuart Drennan,"Moe Dunford, Lorcan Cranitch, Emily Taaffe, Francis Magee",Not Rated,3,8,,1/29/2021
72,Cheat,Thriller,"TV Thrillers,British",English,Series,30,Cecil B. DeMille,65,,"Katherine Kelly, Lorraine Ashbourne, Molly Windsor, Tom Goodman-Hill",Not Rated,0,0,,1/15/2021
73,The Unbroken,Thriller,"Social Issue Dramas,Dramas,Movies Based on Books,Japanese Movies",English,Movie,170,Jason Murphy,66,Anthony Steven Giordano,"Daniel Baldwin, Aurelia Riley, Patrick Flanagan, Ryan Quinn Smith",Not Rated,0,0,,1/1/2021
74,Locked,Thriller,"African Films,Dramas,Nollywood",German,Movie,120,Oleg Assadulin,67,,"Nikola Kastner, Jannik Büddig, Joscha Kiefer, Ulas Kilic",Not Rated,0,0,,12/27/2020
75,Last Moment of Clarity,Thriller,"Psychological Thrillers,Thrillers,Mysteries",English,Movie,120,"James Krisel, Colin Krisel",68,"James Krisel, Colin Krisel","Zach Avery, Samara Weaving, Udo Kier, Brian Cox",R,0,0,,12/27/2020
76,The Ripper,Thriller,"Docuseries,True Crime Documentaries,British",English,Series,30,Janet Meyers,69,Robert Rodat,"Michael York, Gabrielle Anwar, Patrick Bergin, Samuel West",R,2,0,,12/16/2020
