Movie Id ,Title,Genre,Tags,Languages,Series or Movie,Runtime,Director,Director_id,Writer,Actors,View Rating,Awards Received,Awards Nominated For,Boxoffice,Netflix Release Date
25,Kardec,Biography,"Movies Based on Real Life,Dramas,Movies Based on Books,Period Pieces,Brazilian Dramas,Faith & Spirituality Films,Brazilian Films,International Dramas",Portuguese,Movie,120,Wagner de Assis,25,"L.G. Bayão, Wagner de Assis","Daniel Barcellos, Christian Baltauss, Sandra Corveloni, Leonardo Medeiros",Not Rated,0,8,,8/29/2019
26,Maria Magdalena,Biography,"Latin American TV Shows,TV Dramas,Mexican TV Shows,TV Soaps,Epics",Spanish,Series,30,Garth Davis,26,,"Joavany Alvarez, María Fernanda Yepes, Andrés Parra, Manolo Cardona",Not Rated,0,0,,4/19/2019
27,Instynkt,Crime,"TV Dramas,Crime TV Dramas,Polish TV Shows",Polish,Series,30,Halina Reijn,27,,"Pawel Królikowski, Szymon Bobrowski, Danuta Stenka, Piotr Glowacki",Not Rated,0,0,,3/3/2021
28,Magic hour,Crime,"Korean Movies,Dramas,Independent Movies",English,Movie,120,Cole Mueller,28,Cole Mueller,"Kris Lemche, C. Thomas Howell, Trevor Morgan, William Russ",Not Rated,0,0,,2/28/2021
29,Paradoks,Crime,"TV Dramas,Crime TV Dramas,Polish TV Shows",Polish,Series,30,Daryl Hannah,29,,"Boguslaw Linda, Cezary Lukaszewicz, Andrzej Zielinski, Anna Grycewicz",Not Rated,0,0,,2/10/2021
30,Prokurator,Crime,"TV Dramas,Crime TV Dramas,Polish TV Shows",Polish,Movie,30,Micha? Waszy?ski,30,,"Wojciech Zielinski, Malgorzata Rozniatowska, Jacek Koman, Dorota Kolak",Not Rated,1,0,,1/27/2021
31,Al acecho,Crime,"Argentinian Films,Thrillers",Spanish,Movie,120,Gerardo Herrero,31,"Juan Madrid, Gonzalo Herrero","Román Ariznavarreta, Ismael Abellán, Iván Aledo, Pedro Basanta",Not Rated,0,0,,1/12/2021
32,Pyromanen,Crime,"Dramas,Crime Movies,Crime Dramas,Mysteries,Norwegian Movies",Swedish,Movie,120,Erik Skjoldbjærg,32,,"Stefan Ljungqvist, Alf Nilsson, Per Oscarsson, Evert Lindkvist",Not Rated,0,0,,12/12/2020
33,The Gulf,Crime,"TV Mysteries,TV Dramas,Crime TV Dramas,New Zealand TV Shows",English,Movie,30,David Forest,33,,"Alison Bruce, Ross Brannigan, Kate Elliott, Ido Drent",Not Rated,0,1,,11/29/2020
34,Miss Hanoi,Crime,"Czech Movies,Social Issue Dramas,Dramas,Crime Movies,Crime Dramas,Thriller Movies,Mysteries,Crime Thrillers", Vietnamese,Movie,120,Zdenek Viktora,34,"Adela Kabelková, Zdenek Viktora, Marek Grajciar","Ha Thanh Spetlíková, David Novotný, Ján Jackuliak, Miroslav Hruska",Not Rated,0,0,,8/20/2020
35,The State-Mafia Pact,Crime,"Political Documentaries,Crime Movies,Gangster Movies,Italian Movies,Documentary Films",Italian,Movie,120,Sabina Guzzanti,35,"Giorgio Mottola, Sabina Guzzanti","Sabina Guzzanti, Antonino Bruschetta, Enzo Lombardo, Sabino Civilleri",Not Rated,0,1,,3/1/2020
36,The Swiss Family Robinson,Adventure,"Anime Dramas,Children & Family Films,Anime Feature Films,Films Based on Books,Classic Films,Family Features",English,Movie,30,Harry Harris,36,"Ken Trevey, Johann David Wyss","Martin Milner, Helen Hunt, Cameron Mitchell, George DiCenzo",Not Rated,0,0,,11/30/2020
37,Million Joe,Adventure,"TV Dramas,TV Thrillers,TV Dramas Based on Comics,Social Issue TV Dramas,Japanese TV Series",Japanese,Series,30,David Gordon Green,37,,Hiromitsu Kitayama,Not Rated,0,0,,8/8/2020
38,Tatu,Adventure,"Nollywood Movies,Adventures,Dramas,Movies Based on Books,Action & Adventure,African Movies,International Action & Adventure,International Dramas",English,Movie,120,Don Omope,38,,"Stephen Damian, Rahama Sadau, Gabriel Afolayan",Not Rated,0,0,,10/17/2019
