Title,Genre,Languages,Type,CountryAvailability,Runtime,Director,ViewRating,AwardsReceived,AwardsNominatedFor,Boxoffice,NetflixReleaseDate,Year
SAM,Adventure,English,Movie,Singapore,120,Billy Weber,PG-13,0,0,1640220,12/12/2020,2020
Take Point,Action,Korean,Movie,Singapore,170,Byungwoo Kim,Unrated,0,0,112386,12/12/2020,2020
Superstition,Horror,English,Movie,Singapore,120,James W Roberson,Unrated,0,0,0,12/12/2020,2020
Tokan,Action,Malay,Movie,Singapore,120,Ghaz Abu Bakar,R,0,2,0,12/12/2020,2020
Usop Wilcha Meghonjang Makhluk Muzium,Comedy,Malay,Movie,Singapore,120,Mamat Khalid,R,0,0,0,12/12/2020,2020
Dziewczyny ze Lwowa,Comedy,Polish,Series,Poland,30,Steven Spielberg ,R,0,0,0,12/12/2020,2020
Ejen Ali The Movie,Animation,Malay,Movie,Singapore,120,Muhammad Usamah Zaid,R,0,2,0,12/12/2020,2020
1920 Wojna i milosc,Action,Polish,Series,Poland,30,Steven Spielberg ,R,0,0,0,12/12/2020,2020
Blood Ties,Action,English,Movie,Singapore,120,Guillaume Canet,R,0,0,42472,12/12/2020,2020
Aku Ada Kau Ada,Comedy,Malay,Movie,Singapore,120,Laila Rahila,R,0,0,0,12/12/2020,2020
Triple Trouble,Comedy,None,Movie,Poland,120,Charles Chaplin,Unrated,0,0,0,12/12/2020,2020
Legiony,Drama,Polish,Movie,Poland,170,Dariusz Gajewski,R,0,2,0,12/12/2020,2020
Romance on the Menu,Romance,English,Movie,Australia,120,Rosie Lourde,R,0,0,0,12/12/2020,2020
Sweet River,Horror,English,Movie,Australia,120,Justin McMillan,R,0,0,0,12/12/2020,2020
Erotica 2022,Drama,Polish,Movie,Poland,170,Anna Kazejak,R,0,0,0,12/12/2020,2020
The Way Back,Adventure,English,Movie,Australia,120,Peter Weir,PG-13,4,5,2701859,12/12/2020,2020
The Whistleblower,Biography,English,Movie,Australia,170,Larysa Kondracki,R,8,11,1124966,12/12/2020,2020
Hot Mess,Comedy,English,Movie,Australia,120,Lauren Iungerich,R,0,0,0,12/12/2020,2020
Promare,Animation,Japanese,Movie,Italy,120,Hiroyuki Imaishi,PG-13,0,2,2313596,12/11/2020,2020
The Prom,Documentary,German,Movie,Italy,170,Ulrich Seidl,R,0,0,0,12/11/2020,2020
Torbaaz,Action,Hindi,Movie,Italy,170,Girish Malik,TV-MA,0,0,0,12/11/2020,2020
Lamico di famiglia,Comedy,Greek,Movie,Italy,120,Babis Makridis,Unrated,0,8,0,12/11/2020,2020
Giving Voice,Documentary,English,Movie,Italy,120,Fernando Villena,PG-13,1,0,0,12/11/2020,2020
From Zero to Ten,Comedy,Italian,Movie,Italy,120,Luciano Ligabue,R,1,5,0,12/11/2020,2020
City Hunter Shinjuku Private Eyes,Animation,Japanese,Movie,Italy,120,Kenji Kodama,R,0,0,0,12/11/2020,2020
Canvas,Drama,English,Movie,Italy,30,Joseph Greco,PG-13,9,1,35630,12/11/2020,2020
A Trash Truck Christmas,Animation,English,Movie,Italy,30,Eddie Rosas,R,0,0,0,12/11/2020,2020
Over Drive,Action,Japanese,Movie,Japan,120,Eiichir Hasumi,R,1,0,0,12/11/2020,2020
Its Me Its Me,Horror,English,Movie,Hong Kong,120,Andy Muschietti,R,8,47,328828874,12/11/2020,2020
Running Against the Wind,Drama,Amharic,Movie,South Africa,120,Jan Philipp Weyl,R,0,0,0,12/11/2020,2020
Cuidado con lo que deseas,Horror,Spanish,Movie,Brazil,120,Agustn Tapia,R,0,0,0,12/11/2020,2020
Funny Boy,Comedy,French,Movie,United Kingdom,120,Christian Le Hmonet,R,0,0,0,12/10/2020,2020
El Cazador,Action,Spanish,Movie,Spain,120,Jess Fragoso Montoya,R,0,0,0,12/10/2020,2020
Shes the One,Adventure,English,Movie,Lithuania,120,Robert Day,Unrated,0,0,0,12/10/2020,2020
The Panti Sisters,Comedy,Tagalog,Movie,Lithuania,120,Jun Lana,R,3,7,0,12/10/2020,2020
Just The Way You Are,Comedy,English,Movie,France,120,Kristoffer Tabori,TV-G,0,0,0,12/10/2020,2020
Rose Island,Adventure,Italian,Movie,Czech Republic,120,Sydney Sibilia,TV-14,0,0,0,12/9/2020,2020
Winter Flies,Adventure,Czech,Movie,Czech Republic,120,Olmo Omerzu,R,7,13,0,12/9/2020,2020
The Surgeons Cut,Horror,English,Series,Czech Republic,30,Carl Schenkel,R,0,0,0,12/9/2020,2020
Friday,Comedy,English,Movie,Russia,120,F Gary Gray,R,1,5,27467564,12/9/2020,2020
Kalel 15,Drama,Tagalog,Movie,Lithuania,120,Jun Lana,R,6,15,0,12/9/2020,2020
Once Upon a Time,Adventure,English,Series,Israel,30,Steven Spielberg ,TV-PG,12,94,0,12/8/2020,2020
Juman,Comedy,Assamese,Series,Israel,30,Mohibul Haque,R,0,0,0,12/8/2020,2020
Spirit Riding Free Ride Along Adventure,Animation,English,Movie,Israel,120,Kevin Wotton,TV-Y7,0,0,0,12/8/2020,2020
Babel,Drama,English,Series,South Korea,30,Alejandro G Irritu,R,43,136,34302837,12/8/2020,2020
Melbourne Rewind,Drama,Indonesian,Movie,Thailand,120,Danial Rifki,R,0,0,0,12/8/2020,2020
Andr  his olive tree,Comedy,Swedish,Movie,Lithuania,120,Colin Nutley,R,0,2,0,12/8/2020,2020
The War of the Worlds,Action,English,Series,Thailand,30,Byron Haskin,G,5,2,0,12/7/2020,2020
Only the Animals,Crime,French,Movie,United Kingdom,120,Dominik Moll,R,2,7,0,12/7/2020,2020
Stage Mother,Comedy,English,Movie,United Kingdom,120,Thom Fitzgerald,R,5,5,0,12/7/2020,2020
Mikano,Comedy,English,Movie,Israel,120,Steven Spielberg ,R,0,0,0,12/7/2020,2020
Messages from the Sea,Drama,Arabic,Movie,Israel,170,Daoud Abdel Sayed,R,5,1,0,12/7/2020,2020
Teer Enta,Comedy,Arabic,Movie,Israel,120,Ahmed El Gendy,R,0,0,0,12/7/2020,2020
Double Team,Action,English,Movie,Israel,120,Hark Tsui,R,4,0,11438337,12/7/2020,2020
Alzheimers,Drama,Persian,Movie,Israel,120,Ahmad Reza Motamedi,R,2,2,0,12/7/2020,2020
The Pet Girl of Sakurasou,Animation,Japanese,Series,Germany,30,Steven Spielberg ,TV-14,0,0,0,12/7/2020,2020
100 Things,Comedy,German,Movie,Germany,120,Florian David Fitz,R,1,3,0,12/7/2020,2020
World on Fire,Drama,English,Series,Hong Kong,30,Steven Spielberg ,TV-14,0,4,0,12/7/2020,2020
Little Book of Love 2,Comedy,Portuguese,Movie,Brazil,120,Sandra Werneck,R,0,1,0,12/7/2020,2020
Isolados,Horror,Portuguese,Movie,Brazil,120,Tomas Portella,R,0,2,0,12/7/2020,2020
In Therapy,Comedy,Portuguese,Movie,Brazil,120,Jos Alvarenga Jr,R,10,12,0,12/7/2020,2020
Confia em mim,Short,Portuguese,Movie,Brazil,120,Lus Nogueira,R,0,0,0,12/7/2020,2020
100 Days My Prince,Comedy,Korean,Series,France,30,Steven Spielberg ,R,2,0,0,12/7/2020,2020
Open Your Eyes,Drama,Spanish,Movie,Portugal,120,Alejandro Amenbar,R,6,14,370720,12/6/2020,2020
Hover,Sci-Fi,English,Movie,Portugal,120,Matt Osterman,Unrated,0,0,0,12/6/2020,2020
Halloween 4 The Return of Michael Myers,Horror,English,Movie,Portugal,120,Dwight H Little,R,1,2,17768757,12/6/2020,2020
Dear Secret Santa,Comedy,English,Movie,Iceland,120,Peter Sullivan,PG,0,0,0,12/6/2020,2020
Spirit,Comedy,Malayalam,Series,South Africa,30,Ranjith,R,4,2,0,12/6/2020,2020
The Ultimate Braai Master,Reality-TV,English,Series,South Africa,30,Steven Spielberg ,R,0,0,0,12/6/2020,2020
Hard Copy,News,English,Series,South Africa,30,Steven Spielberg ,R,0,0,0,12/6/2020,2020
Gauteng Maboneng,Comedy,English,Series,South Africa,30,Steven Spielberg ,R,8,6,0,12/6/2020,2020
Emoyeni,Sci-Fi,Zulu,Series,South Africa,30,Steven Spielberg ,R,4,2,0,12/6/2020,2020
Bedford Wives,Comedy,English,Series,South Africa,30,Steven Spielberg ,R,1,6,0,12/6/2020,2020
Still Born,Documentary,Swedish,Movie,South Africa,30,sa Sandzn,R,3,0,0,12/6/2020,2020
The Grooms Price,Mystery,English,Movie,South Africa,30,Vctor Crdenas,R,0,0,0,12/6/2020,2020
The Captain of Nakara,Comedy,English,Movie,South Africa,120,Bob Nyanja,R,0,2,0,12/6/2020,2020
Nothing But Thirty,Drama,Mandarin,Series,South Korea,30,Steven Spielberg ,R,16,8,0,12/6/2020,2020
More than Friends,Comedy,English,Series,South Korea,30,James Burrows,R,0,0,0,12/6/2020,2020
Love Again,Drama,English,Series,South Korea,30,Michael M Scott,TV-G,0,0,0,12/6/2020,2020
Hello Jadoo,Comedy,English,Series,South Korea,30,Steven Spielberg ,R,0,0,0,12/6/2020,2020
Graceful Family,Drama,Korean,Series,South Korea,30,Steven Spielberg ,R,0,0,0,12/6/2020,2020
Devilish Charm,Thriller,English,Series,South Korea,30,David DeCoteau,Unrated,0,0,0,12/6/2020,2020
My TYRANO Together Forever,Animation,Japanese,Movie,South Korea,120,Kbun Shizuno,R,0,0,0,12/6/2020,2020
Queen  Slim,Adventure,Hindi,Movie,South Korea,170,Vikas Bahl,Unrated,22,18,0,12/6/2020,2020
Lightning Man  The Mystery Island,Short,English,Movie,South Korea,120,Jonathan Goetzman,R,0,0,0,12/6/2020,2020
Emma,Comedy,English,Movie,South Korea,170,Douglas McGrath,PG,3,7,22231658,12/6/2020,2020
Abominable,Animation,English,Movie,South Korea,120,Todd Wilderman,PG,4,22,60826390,12/6/2020,2020
Detention,Comedy,English,Series,Canada,30,Joseph Kahn,R,0,4,0,12/6/2020,2020
Mighty Express A Mighty Christmas,Animation,English,Movie,Australia,30,Chris LaBonte,R,0,0,0,12/6/2020,2020
The Forest of Wool and Steel,Drama,Japanese,Movie,Japan,170,Kjir Hashimoto,R,1,0,0,12/5/2020,2020
MANK,Biography,English,Movie,France,170,David Fincher,R,27,167,0,12/5/2020,2020
Selena The Series,Biography,English,Series,Canada,30,Steven Spielberg ,TV-PG,0,0,0,12/5/2020,2020
Bhaag Beanie Bhaag,Comedy,English,Series,Australia,30,Steven Spielberg ,TV-MA,0,0,0,12/5/2020,2020
You Are My Home,Short,Spanish,Movie,Australia,120,Gustavo Adrian Garzon,R,0,0,0,12/5/2020,2020
Christmas Crossfire,Comedy,German,Movie,Poland,120,Detlev Buck,TV-MA,0,0,0,12/5/2020,2020
Captain Underpants Mega Blissmas,Animation,English,Movie,Poland,120,Steven Spielberg ,TV-PG,0,0,0,12/5/2020,2020
Body Cam,Horror,English,Movie,Russia,120,Malik Vitthal,R,0,0,0,12/4/2020,2020
Tenchi The Samurai Astronomer,Biography,Japanese,Movie,Japan,170,Yjir Takita,R,1,5,0,12/4/2020,2020
The Fallen Angel,Drama,Japanese,Movie,Japan,170,Genjiro Arato,R,1,0,0,12/4/2020,2020
The Whistlers,Comedy,Romanian,Movie,United Kingdom,120,Corneliu Porumboiu,Unrated,11,16,55608,12/4/2020,2020
Just Another Christmas,Comedy,Portuguese,Movie,Germany,120,Roberto Santucci,R,0,0,0,12/3/2020,2020
Chico Bon Bon and the Very Berry Holiday,Animation,English,Movie,Germany,30,Darragh OConnell,R,0,0,0,12/3/2020,2020
Break,Thriller,Russian,Movie,Germany,120,Tigran Sahakyan,R,0,0,0,12/3/2020,2020
Mutafukaz,Sci-Fi,English,Movie,Japan,120,Guillaume Renard,R,0,0,0,12/3/2020,2020
Must Be Love,Comedy,Filipino,Movie,France,120,Dado C Lumibao,R,0,1,0,12/3/2020,2020
Between Maybes,Drama,Filipino,Movie,France,120,Jason Paul Laxamana,Unrated,0,0,0,12/3/2020,2020
RELIC,Drama,English,Movie,Canada,120,Natalie Erika James,R,4,16,1047083,12/3/2020,2020
The Truth,Drama,French,Movie,Canada,120,Hirokazu Koreeda,PG,1,2,9619,12/3/2020,2020
Fierce,Documentary,English,Movie,Czech Republic,120,Steven Spielberg ,R,0,0,0,12/2/2020,2020
Hazel Brugger Tropical,Comedy,German,Movie,Israel,120,Steven Spielberg ,R,0,0,0,12/2/2020,2020
Alien Worlds,Documentary,English,Series,Israel,30,Steven Spielberg ,R,0,0,0,12/2/2020,2020
Speak of The Devil,Documentary,English,Movie,Russia,120,Nick Bougas,Unrated,0,0,0,12/2/2020,2020
Friends Of Friends,Drama,German,Movie,Russia,120,Dominik Graf,R,2,2,0,12/2/2020,2020
Champions,Comedy,Spanish,Movie,Russia,120,Javier Fesser,TV-14,13,31,0,12/2/2020,2020
Lone Wolf,Horror,English,Series,Switzerland,30,John Callas,R,0,0,0,12/2/2020,2020
After We Collided,Drama,English,Movie,Thailand,120,Roger Kumble,R,0,0,2386483,12/2/2020,2020
Hard to Kill,Action,English,Movie,Brazil,120,Bruce Malmuth,R,0,0,47410827,12/2/2020,2020
Once Again,Drama,Hindi,Series,France,30,Kanwal Sethi,R,3,0,0,12/2/2020,2020
The Bachelorette,Drama,English,Series,United States,30,Steven Spielberg ,TV-14,5,4,0,12/2/2020,2020
The Holiday Movies That Made Us,Documentary,English,Series,Canada,30,Steven Spielberg ,TV-PG,0,0,0,12/2/2020,2020
Are You The One,Reality-TV,English,Series,United States,30,Steven Spielberg ,TV-14,0,2,0,12/2/2020,2020
UTurn,Action,Greek,Movie,Canada,120,Nikos Grammatikos,R,1,0,0,12/2/2020,2020
Being Frank,Comedy,English,Movie,Canada,120,Miranda Bailey,R,3,5,67343,12/2/2020,2020
Angelas Christmas Wish,Drama,English,Movie,Canada,120,Rebecca Miller,Unrated,4,1,0,12/2/2020,2020
The Silent Revolution,Drama,German,Movie,Switzerland,120,Lars Kraume,PG,8,8,0,12/1/2020,2020
The Sunlit Night,Drama,English,Movie,Hungary,120,David Wnendt,R,0,1,0,12/1/2020,2020
The Room,Drama,English,Movie,Czech Republic,30,Tommy Wiseau,R,1,0,549602,12/1/2020,2020
Dora and the Lost City of Gold,Adventure,English,Movie,Russia,120,James Bobin,PG,4,2,60477943,12/1/2020,2020
Blue Story,Crime,English,Movie,Russia,120,Rapman,R,1,13,0,12/1/2020,2020
Twelve Nights,Documentary,Mandarin,Series,Japan,30,Raye,R,0,2,0,12/1/2020,2020
Matrimonial Chaos,Comedy,Korean,Series,Japan,30,Steven Spielberg ,R,1,1,0,12/1/2020,2020
Fujoshi Ukkari Gei ni Kokuru,Drama,Japanese,Series,Japan,30,Steven Spielberg ,R,0,0,0,12/1/2020,2020
Pool,Drama,Japanese,Movie,Japan,120,Mika Ohmori,R,0,0,0,12/1/2020,2020
The Rhythm Section,Action,English,Movie,Japan,120,Reed Morano,R,1,3,5437971,12/1/2020,2020
The Return of Godzilla,Sci-Fi,Japanese,Movie,Japan,120,She Matsubayashi,R,0,0,0,12/1/2020,2020
Son of Godzilla,Action,Japanese,Movie,Japan,120,Jun Fukuda,PG,0,0,0,12/1/2020,2020
Terror of Mechagodzilla,Action,Japanese,Movie,Japan,120,Jun Fukuda,G,0,1,0,12/1/2020,2020
Until the Break of Dawn,Drama,Japanese,Movie,Japan,170,Yichir Hirakawa,R,2,0,0,12/1/2020,2020
Gokusen The Movie,Comedy,Japanese,Movie,Japan,120,Tya Sat,R,1,0,0,12/1/2020,2020
Godzilla vs SpaceGodzilla,Action,Japanese,Movie,Japan,120,Kensh Yamashita,Unrated,0,1,0,12/1/2020,2020
Godzilla vs Megalon,Action,Japanese,Movie,Japan,120,Jun Fukuda,Unrated,0,0,0,12/1/2020,2020
Godzilla Tokyo SOS,Action,Japanese,Movie,Japan,120,Masaaki Tezuka,PG,0,1,0,12/1/2020,2020
Godzilla Mothra and King Ghidorah Giant Monsters All Out Attack,Action,Japanese,Movie,Japan,120,Shsuke Kaneko,Unrated,0,1,0,12/1/2020,2020
Godzilla vs Destoroyah,Action,Japanese,Movie,Japan,120,Kazuki Ohmori,Unrated,0,3,0,12/1/2020,2020
Godzilla vs Biollante,Action,Japanese,Movie,Japan,120,Kenjir Ohmori,PG,2,0,0,12/1/2020,2020
Godzilla vs King Ghidorah,Action,Japanese,Movie,Japan,120,Katsumune Ishida,Unrated,1,1,0,12/1/2020,2020
Godzilla  Mothra Battle for Earth,Action,English,Movie,Japan,120,Gareth Edwards,PG-13,7,31,200676069,12/1/2020,2020
Godzilla Raids Again,Action,Japanese,Movie,Japan,120,Ishir Honda,Approved,0,1,0,12/1/2020,2020
Godzilla vs Mechagodzilla II,Action,Japanese,Movie,Japan,120,Kazuki Ohmori,PG,0,2,0,12/1/2020,2020
Godzilla vs Mechagodzilla,Action,Japanese,Movie,Japan,120,Jun Fukuda,G,0,0,0,12/1/2020,2020
Godzilla vs Hedorah,Animation,Japanese,Movie,Japan,120,Ishir Honda,PG,0,0,0,12/1/2020,2020
Godzilla vs Gigan,Action,Japanese,Movie,Japan,120,Jun Fukuda,PG,0,0,0,12/1/2020,2020
Godzilla,Action,English,Movie,Japan,120,Gareth Edwards,PG-13,7,31,200676069,12/1/2020,2020
Godzilla Against Mechagodzilla,Action,Japanese,Movie,Japan,120,Katsumune Ishida,Unrated,0,0,0,12/1/2020,2020
Godzilla vs Megaguirus,Action,Japanese,Movie,Japan,120,Ishir Honda,Unrated,1,1,0,12/1/2020,2020
Glasses,Comedy,Japanese,Movie,Japan,120,Naoko Ogigami,R,1,1,0,12/1/2020,2020
Ghidorah The Three Headed Monster,Action,Japanese,Movie,Japan,120,Ishir Honda,Unrated,0,1,0,12/1/2020,2020
Destroy All Monsters,Action,Japanese,Movie,Japan,120,Jun Fukuda,G,0,0,0,12/1/2020,2020
The Brain Man,Crime,Japanese,Movie,Japan,170,Tomoyuki Takimoto,R,1,0,0,12/1/2020,2020
Boys,Drama,Dutch,Movie,Japan,120,Mischa Kamp,Unrated,9,8,0,12/1/2020,2020
Bandage,Drama,Japanese,Movie,Japan,170,Takeshi Kobayashi,R,2,0,0,12/1/2020,2020
Another World,Action,English,Movie,Japan,120,Eitan Reuven,R,3,0,0,12/1/2020,2020
All Monsters Attack,Action,Japanese,Movie,Japan,120,Kengo Furusawa,G,0,1,0,12/1/2020,2020
Abunai Deka Returns,Action,Japanese,Movie,Japan,120,Tru Murakawa,R,0,0,0,12/1/2020,2020
Abunai deka forever the movie,Action,Japanese,Movie,Japan,120,Yusuke Narita,R,0,0,0,12/1/2020,2020
Love Island Australia,Reality-TV,English,Series,Thailand,30,Steven Spielberg ,TV-MA,0,0,0,12/1/2020,2020
The Scent of Burning Grass,Drama,Vietnamese,Movie,Thailand,120,Huu Muoi Nguyen,R,0,0,0,12/1/2020,2020
Fiction,Crime,English,Movie,Thailand,120,Quentin Tarantino,R,70,75,107928762,12/1/2020,2020
7 Letters,Drama,English,Movie,Thailand,120,K Rajagopal,R,0,1,0,12/1/2020,2020
The Guest,Action,English,Series,France,30,Adam Wingard,R,4,13,332890,12/1/2020,2020
The Legend of Secret Pass,Animation,English,Movie,France,120,Steve Trenbirth,Unrated,0,0,0,12/1/2020,2020
Ava,Action,English,Movie,France,120,Tate Taylor,R,0,0,497747,12/1/2020,2020
Rust Creek,Crime,English,Movie,United States,120,Jen McGowan,R,9,0,0,12/1/2020,2020
The 2nd,Action,English,Movie,United States,120,Brian Skiba,Unrated,0,0,0,12/1/2020,2020
Finding Agnes,Drama,Filipino,Movie,Canada,120,Marla Ancheta,R,0,0,0,12/1/2020,2020
The Dare,Horror,English,Movie,Netherlands,120,Giles Alderson,R,1,0,0,11/30/2020,2020
Primo amore,Short,None,Movie,Italy,30,Emilio GrazianiWalter,R,0,0,0,11/30/2020,2020
Respiro,Drama,Italian,Movie,Italy,30,Emanuele Crialese,PG-13,21,11,1072834,11/30/2020,2020
Princess Sarah,Drama,Filipino,Series,Israel,30,Steven Spielberg ,R,0,0,0,11/30/2020,2020
The Swiss Family Robinson,Adventure,English,Movie,Israel,30,Harry Harris,R,0,0,0,11/30/2020,2020
The Embalmer,Drama,Italian,Movie,Italy,120,Matteo Garrone,Unrated,16,20,56878,11/30/2020,2020
Heliopolis,Drama,Arabic,Movie,Israel,120,Ahmad Abdalla,R,2,5,0,11/30/2020,2020
Eye of the Sun,Drama,Arabic,Movie,Israel,120,Ibrahim ElBatout,R,1,0,0,11/30/2020,2020
Two Women,Drama,Italian,Movie,Italy,120,Vittorio De Sica,Unrated,11,3,0,11/30/2020,2020
Consequences of Love,Crime,Italian,Movie,Italy,120,Paolo Sorrentino,R,20,21,0,11/30/2020,2020
CapriRevolution,Drama,Italian,Movie,Italy,120,Mario Martone,R,11,25,0,11/30/2020,2020
Bob  Marys  Criminali a domicilio,Comedy,English,Movie,Italy,120,Steven Spielberg ,R,0,2,0,11/30/2020,2020
A Perfect Day,Comedy,English,Movie,Italy,120,Fernando Len de Aranoa,R,4,21,14044,11/30/2020,2020
Maura,Short,Spanish,Series,Thailand,30,Romeo Lpez Aldana,R,0,0,0,11/30/2020,2020
The Robbers,Action,Mandarin,Movie,Thailand,170,Shupeng Yang,R,2,1,0,11/30/2020,2020
A Gift,Comedy,Thai,Movie,Thailand,170,Kriangkrai Vachiratamporn,R,0,3,0,11/30/2020,2020
De Piraten van Hiernaast,Family,Dutch,Movie,Belgium,120,Pim van Hoeve,R,0,0,0,11/29/2020,2020
Scent of Love,Drama,Korean,Series,Thailand,30,Jeongwook Lee,R,1,0,0,11/29/2020,2020
Waves of Life,Documentary,English,Series,Thailand,30,Adriana Vella,R,0,0,0,11/29/2020,2020
Nakee,Fantasy,Thai,Series,Thailand,30,Pongpat Wachirabunjong,R,0,0,0,11/29/2020,2020
Love Revenge,Short,English,Series,Thailand,30,Darnell Brown,R,0,0,0,11/29/2020,2020
Love without rules,Comedy,English,Movie,Russia,120,Steven Spielberg ,R,0,0,0,11/29/2020,2020
Go Ahead,Comedy,Chinese,Series,Thailand,30,Steven Spielberg ,R,6,7,0,11/29/2020,2020
Orlean,Comedy,Russian,Movie,Russia,120,Andrey Proshkin,R,4,10,0,11/29/2020,2020
Gibiate,Animation,Japanese,Series,Thailand,30,Steven Spielberg ,R,0,0,0,11/29/2020,2020
Pitch,Drama,English,Movie,Russia,120,Steven Spielberg ,TV-14,1,2,0,11/29/2020,2020
Puppet Syndrome,Drama,Russian,Movie,Russia,120,Elena Hazanova,R,1,1,0,11/29/2020,2020
Flames of Desire,Drama,None,Series,Thailand,30,Denison Clift,R,0,0,0,11/29/2020,2020
My Dog Dou Dou,Drama,Mandarin,Movie,Thailand,120,Say Yong Ng,R,0,0,0,11/29/2020,2020
October Sonata,Drama,Thai,Movie,Thailand,120,Somkait Vituranich,R,4,7,0,11/29/2020,2020
One More Chance,Drama,Filipino,Movie,Thailand,120,Cathy GarciaMolina,TV-PG,5,17,0,11/29/2020,2020
Pee Nak 2,Horror,Thai,Movie,Thailand,120,Phontharis Chotkijsadarsopon,R,0,0,0,11/29/2020,2020
Phua Chu Kang The Movie,Comedy,Malay,Movie,Thailand,120,Boris Boo,R,0,0,0,11/29/2020,2020
Pulau Hantu,Thriller,English,Movie,Thailand,120,Esan Sivalingam,R,0,0,0,11/29/2020,2020
Remember When,Drama,English,Movie,Thailand,120,Buzz Kulik,R,0,0,0,11/29/2020,2020
Rompis,Drama,Indonesian,Movie,Thailand,120,Monty Tiwa,R,0,0,0,11/29/2020,2020
Secret Zoo,Comedy,Korean,Movie,Thailand,120,Jaegon Son,R,0,0,0,11/29/2020,2020
Snakes  Ladders,Horror,English,Movie,Thailand,120,Art Names,R,0,0,0,11/29/2020,2020
Spy in Love,Action,Malay,Movie,Thailand,120,Danial Rifki,R,0,0,0,11/29/2020,2020
Sunny Our Hearts Beat Together,Comedy,Japanese,Movie,Thailand,120,Hitoshi ne,R,0,1,0,11/29/2020,2020
That Girl in Pinafore,Comedy,English,Movie,Thailand,120,YeeWei Chai,R,0,0,0,11/29/2020,2020
Three Ladies,Comedy,English,Movie,Thailand,120,Steven Spielberg ,R,0,0,0,11/29/2020,2020
Titus Mystery of the Enygma,Animation,Indonesian,Movie,Thailand,120,Dineshkumar Subashchandra,R,0,0,0,11/29/2020,2020
We Not Naughty,Comedy,Malay,Movie,Thailand,170,Jack Neo,R,0,0,0,11/29/2020,2020
When Will You Get Married,Comedy,Indonesian,Movie,Thailand,120,Ody C Harahap,TV-PG,0,4,0,11/29/2020,2020
You Are My Sunshine,Drama,Korean,Movie,Thailand,170,Jinpyo Park,G,7,8,0,11/29/2020,2020
Hello World,Animation,Japanese,Movie,Thailand,120,Tomohiko It,R,0,2,0,11/29/2020,2020
Go Eight,Action,Indonesian,Movie,Thailand,170,Andibachtiar Yusuf,R,0,0,0,11/29/2020,2020
Firegate,Adventure,Indonesian,Movie,Thailand,120,Rizal Mantovani,R,0,2,0,11/29/2020,2020
Farewell Song,Drama,Japanese,Movie,Thailand,120,Akihiko Shiota,R,0,2,0,11/29/2020,2020
Every Day A Good Day,Drama,Japanese,Movie,Thailand,120,Tatsushi Ohmori,R,4,5,0,11/29/2020,2020
Distance,Drama,Japanese,Movie,Thailand,120,Hirokazu Koreeda,Unrated,0,1,0,11/29/2020,2020
Crazy Crying Lady,Comedy,Thai,Movie,Thailand,120,Rergchai Poungpetch,R,0,1,0,11/29/2020,2020
City Sharks,Comedy,English,Movie,Thailand,120,Esan Sivalingam,R,0,0,0,11/29/2020,2020
Chrisye,Biography,Indonesian,Movie,Thailand,120,Rizal Mantovani,R,0,2,0,11/29/2020,2020
Chennai 2 Singapore,Comedy,Tamil,Movie,Thailand,170,Abbas Akbar,R,0,0,0,11/29/2020,2020
Cafe Funiculi Funicula,Adventure,Japanese,Movie,Thailand,120,Ayuko Tsukahara,R,1,0,0,11/29/2020,2020
Bangkok Dark Tales,Horror,Thai,Movie,Thailand,120,Anusorn SoisaNgim,R,0,0,0,11/29/2020,2020
Asih,Horror,Indonesian,Movie,Thailand,120,Awi Suryadi,R,0,0,0,11/29/2020,2020
Army Daze,Comedy,English,Movie,Thailand,120,Keng Sen Ong,R,0,0,0,11/29/2020,2020
Ashfall,Action,Korean,Movie,Thailand,170,Haejun Lee,Unrated,5,8,372562,11/29/2020,2020
Muita Calma Nessa Hora 2,Comedy,Portuguese,Movie,Brazil,120,Felipe Joffily,R,0,0,0,11/29/2020,2020
Ciladacom,Short,Portuguese,Movie,Brazil,120,Luiz Borges,R,1,0,0,11/29/2020,2020
Alucinados,Thriller,Portuguese,Movie,Brazil,120,Roberto Santucci,R,1,0,0,11/29/2020,2020
A Very English Scandal,Biography,English,Series,Australia,30,Stephen Frears,TV-14,28,42,0,11/29/2020,2020
The Gulf,Crime,English,Movie,Australia,30,Steven Spielberg ,R,0,1,0,11/29/2020,2020
Mr Jones,Drama,English,Movie,Australia,30,Mike Figgis,R,0,0,8345845,11/29/2020,2020
Satellite Boy,Adventure,English,Movie,Australia,120,Catriona McKenzie,R,6,11,0,11/29/2020,2020
The Sisters Brothers,Crime,English,Movie,Australia,30,Jacques Audiard,R,11,23,3143056,11/29/2020,2020
Toomelah,Crime,English,Movie,Australia,120,Ivan Sen,Unrated,3,4,0,11/29/2020,2020
All About the Benjamins,Action,English,Movie,Australia,120,Kevin Bray,R,0,0,25916319,11/29/2020,2020
The Man Who Killed Don Quixote,Adventure,English,Movie,Germany,30,Terry Gilliam,Unrated,4,7,391963,11/28/2020,2020
The Truth Will Out,Horror,English,Movie,Netherlands,30,Jessica Hunt,R,0,0,0,11/28/2020,2020
Rebecka Martinsson,Crime,Swedish,Movie,Netherlands,30,Steven Spielberg ,Unrated,0,2,0,11/28/2020,2020
Deliver Us,Documentary,Italian,Series,Netherlands,30,Federica Di Giacomo,R,2,2,0,11/28/2020,2020
